id,tipo,finalidade,cidade,estado,area_m2,quartos,banheiros,vagas,valor_mensal,valor_venda,condominio,iptu_mensal,mobiliado,pet_friendly,disponivel,descricao
85,Apartamento,Locação,Curitiba,PR,120,3,3,2,8200,0,1300,520,Sim,Não,Sim,"Jardins, alto padrão e sofisticação"
86,Apartamento,Locação,São Paulo,SP,95,2,2,1,6500,0,1100,440,Sim,Não,Sim,Coração dos Jardins
87,Casa,Locação,Porto Alegre,RS,380,5,5,6,25000,0,0,1500,Sim,Sim,Sim,"Mansão nos Jardins, padrão máximo"
88,Apartamento,Locação,Fortaleza,CE,68,1,1,1,4800,0,900,360,Sim,Não,Não,"Alto Itaim, aguardando desocupação"
89,Apartamento,Locação,Curitiba,PR,102,3,2,2,7200,0,1150,460,Não,Sim,Sim,"Prime, próximo ao Ibirapuera"
90,Cobertura,Locação,São Paulo,SP,250,4,4,3,22000,0,2500,1000,Sim,Não,Sim,"O melhor da cidade, vistas deslumbrantes"
91,Apartamento,Venda,Belo Horizonte,MG,125,3,3,2,0,1400000,1350,540,Sim,Não,Sim,Sofisticado nos Jardins
92,Apartamento,Venda,Natal,RN,98,2,2,1,0,980000,1120,460,Sim,Não,Sim,"Prime Jardins, valorização histórica"
93,Casa,Venda,Porto Alegre,RS,420,6,6,6,0,8500000,0,1800,Sim,Sim,Sim,Residência de altíssimo padrão
94,Apartamento,Venda,Belo Horizonte,MG,105,3,2,2,0,1100000,1180,480,Não,Sim,Sim,"Exclusivo, frente ao Ibirapuera"
95,Apartamento,Locação,Belém,PA,50,1,1,0,2600,0,550,215,Sim,Não,Sim,"Próximo à USP, ideal para pesquisadores"
96,Apartamento,Locação,Fortaleza,CE,63,2,1,1,2800,0,580,230,Não,Sim,Sim,Próximo ao Shopping Bourbon
97,Casa,Locação,Manaus,AM,125,3,2,2,4400,0,0,350,Não,Sim,Sim,Próximo à USP e ao Incor
98,Apartamento,Locação,Rio de Janeiro,RJ,67,2,2,1,2700,0,560,225,Não,Não,Sim,Região residencial tranquila
99,Apartamento,Venda,Curitiba,PR,52,1,1,0,0,420000,580,220,Sim,Não,Sim,Próximo à USP e ao metrô
100,Casa,Venda,Rio de Janeiro,RJ,180,4,3,3,0,1350000,0,460,Não,Sim,Sim,Casa espaçosa próximo à USP
